Producto,Cliente,Promedio,Promedio Simple
EI-S4TA,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,900.0,144.0
BUJIA849,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,4480.263157894737,3869.318181818182
