Producto,Cliente,Cantidad Real,Cantidad Real N,Cantidad Pronosticada,Cantidad Pronosticada N,Diferencia,Diferencia Norm
BUJIA040,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,29396,9.798666666666668,28221.7849683312,9.4072616561104,1174.2150316687985,0.39140501055626764
V2,CONTROLADORA MABE SA DE CV,3,3.0,24247.7669476676,24247.7669476676,-24244.7669476676,-24244.7669476676
V2,"CALENTADORES DE AMERICA, S.A. DE C.V.",1302,1.6275,7375.7761498524,9.219720187315499,-6073.7761498524,-7.592220187315499
V2,"INDUGLOB, S.A.",380730,2.2852941176470587,168416.4089307572,1.0109028147104273,212313.5910692428,1.2743913029366314
V2,IMBERA S.A. DE C.V.,35,1.75,617.0379129546,30.851895647729997,-582.0379129546,-29.101895647729997
LPERA,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,1319,4.710714285714285,3173.4301291667,11.333679032738216,-1854.4301291667002,-6.62296474702393
FS12V16W,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",20,1.0,1688.8984390933,84.444921954665,-1668.8984390933,-83.444921954665
SELCLEAN,CONTROLADORA MABE SA DE CV,16650,16.81818181818182,20723.9715009468,20.933304546410906,-4073.971500946798,-4.115122728229085
BUJ528G1,CONTROLADORA MABE SA DE CV,757750,25.25833333333334,562485.9307033828,18.749531023446092,195264.06929661718,6.508802309887248
BU185G19,CONTROLADORA MABE SA DE CV,319889,19.224098557692308,51019.7988381155,3.0660936801752103,268869.20116188447,16.158004877517097
EBIS3TAH,CONTROLADORA MABE SA DE CV,1838,3.0633333333333335,11429.8599274189,19.049766545698166,-9591.8599274189,-15.986433212364833
SELCLEAG,CONTROLADORA MABE SA DE CV,330,2.2,3040.5495069084,20.270330046056,-2710.5495069084,-18.070330046056
BU185G17,CONTROLADORA MABE SA DE CV,90566,9.24142857142857,141773.1148443963,14.466644371877173,-51207.1148443963,-5.225215800448604
BU185G14,CONTROLADORA MABE SA DE CV,8630,10.273809523809526,5445.0206910083,6.482167489295595,3184.9793089917002,3.791642034513931
BUJ891G1,CONTROLADORA MABE SA DE CV,169550,19.488505747126446,64455.796692147,7.408712263465173,105094.203307853,12.079793483661273
BUJ891G2,CONTROLADORA MABE SA DE CV,7650,8.5,20568.8075027136,22.854230558570666,-12918.8075027136,-14.354230558570666
BUJ891G3,CONTROLADORA MABE SA DE CV,6450,7.166666666666668,6601.9667246654,7.335518582961555,-151.96672466539985,-0.16885191629488716
BUJ250G2,CONTROLADORA MABE SA DE CV,12440,7.068181818181818,15196.5301818703,8.634392148789942,-2756.530181870299,-1.5662103306081239
BUJ891G4,CONTROLADORA MABE SA DE CV,40950,16.05882352941176,18627.8652629097,7.305045201141059,22322.1347370903,8.753778328270702
BU185G26,CONTROLADORA MABE SA DE CV,163795,15.59952380952381,103855.8678536915,9.891035033684904,59939.132146308504,5.708488775838905
BUJ250G3,CONTROLADORA MABE SA DE CV,8760,7.064516129032258,9265.5287973458,7.472200643020806,-505.52879734579983,-0.4076845139885483
EBIS5TAH,CONTROLADORA MABE SA DE CV,9500,13.571428571428575,4071.0979974531,5.815854282075858,5428.9020025469,7.755574289352717
BUJ722G1,CONTROLADORA MABE SA DE CV,64076,19.070238095238093,30282.5169836738,9.01265386418863,33793.4830163262,10.057584231049463
BUJ891G5,CONTROLADORA MABE SA DE CV,2748,6.106666666666665,4961.9178884353,11.026484196522889,-2213.9178884352996,-4.919817529856224
BUJ320G2,CONTROLADORA MABE SA DE CV,3750,5.0,12953.4898420237,17.271319789364934,-9203.4898420237,-12.271319789364934
BUJ320G3,CONTROLADORA MABE SA DE CV,21112,12.992,6057.5410477204,3.727717567827938,15054.458952279601,9.264282432172063
BUJ320G1,CONTROLADORA MABE SA DE CV,2250,2.9999999999999996,38146.2927533617,50.86172367114893,-35896.2927533617,-47.86172367114893
EI-S7N,CONTROLADORA MABE SA DE CV,41650,13.61111111111111,26975.8028999142,8.815621862717059,14674.1971000858,4.795489248394052
BUJIA523,"COPRECI DE MEXICO, S.A. DE C.V.",113000,7.533333333333332,242985.8689833793,16.199057932225287,-129985.8689833793,-8.665724598891956
BUJIA525,"COPRECI DE MEXICO, S.A. DE C.V.",98000,7.2592592592592595,129850.9179438035,9.618586514355815,-31850.917943803506,-2.359327255096556
BUJIA526,"COPRECI DE MEXICO, S.A. DE C.V.",67000,5.153846153846153,121009.9594426611,9.30845841866624,-54009.9594426611,-4.154612264820086
BUJIA524,"COPRECI DE MEXICO, S.A. DE C.V.",173500,7.382978723404255,392909.4521838755,16.71955115676066,-219409.4521838755,-9.336572433356404
BUJIA260,"COPRECI DE MEXICO, S.A. DE C.V.",321000,8.23076923076923,755894.0971725624,19.3818999275016,-434894.0971725624,-11.15113069673237
BUJIA260,WHIRLPOOL CORPORATION,15500,3.875,59296.2884926695,14.824072123167374,-43796.2884926695,-10.949072123167374
BUJIA261,"COPRECI DE MEXICO, S.A. DE C.V.",448000,10.181818181818183,860822.4453313658,19.564146484803768,-412822.4453313658,-9.382328302985584
BUJIA261,WHIRLPOOL CORPORATION,19000,3.454545454545454,79788.2528758541,14.50695506833711,-60788.2528758541,-11.052409613791657
BUJIA387,"COPRECI DE MEXICO, S.A. DE C.V.",48500,6.466666666666667,39280.0813108056,5.237344174774081,9219.918689194397,1.229322491892586
CP5112N1,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",127,2.5918367346938775,1750.4451212542,35.72336982151429,-1623.4451212542,-33.13153308682041
CP5115A,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",604,3.355555555555556,4587.9655446999,25.488697470555003,-3983.9655446999004,-22.13314191499945
CP5115A3,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",359,1.2046979865771812,2235.2564010446,7.500860406189933,-1876.2564010446,-6.2961624196127515
CP5115A6,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",977,2.5509138381201044,3499.3885593348,9.13678475022141,-2522.3885593348,-6.585870912101306
CP5115A2,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",854,1.728744939271255,4878.0200280498,9.874534469736437,-4024.0200280498,-8.145789530465182
CP5115A5,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",200,2.0,1616.4551645882,16.164551645882,-1416.4551645882,-14.164551645882
LRA16M02,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",4560,4.75,24853.9878661591,25.88957069391573,-20293.9878661591,-21.13957069391573
LRA16M03,GRUPO DINAMICO DE REFRIGERACION S.A. DE C.V.,120,2.0,1522.3165204981,25.37194200830167,-1402.3165204981,-23.37194200830167
CP5112M3,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",158,1.6458333333333335,1325.6440960159,13.808792666832291,-1167.6440960159,-12.162959333498957
CP5112M2,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",768,2.6666666666666665,3524.164063904,12.236680777444445,-2756.164063904,-9.570014110777779
CP5111S3,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",48,1.0,1305.0153607661,27.187820015960416,-1257.0153607661,-26.187820015960416
CP5111S5,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",48,1.0,838.4962335883,17.468671533089584,-790.4962335883,-16.468671533089584
CP5112O3,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",366,1.90625,3066.7116460374,15.972456489778125,-2700.7116460374,-14.066206489778125
CP5112O4,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",284,1.0,4612.0716056182,16.23968875217676,-4328.0716056182,-15.239688752176761
CP5112O5,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",38,1.0,1636.7163387003,43.07148259737632,-1598.7163387003,-42.07148259737632
CP5111C4,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",10,1.0,857.0408039885,85.70408039885,-847.0408039885,-84.70408039885
CP5111O2,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",48,1.0,1932.4551923065,40.25948317305208,-1884.4551923065,-39.25948317305208
CP5115A1,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",1662,3.847222222222222,6410.5155236077,14.839156304647453,-4748.5155236077,-10.991934082425232
CP5113F2,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",78,1.625,829.1144358745,17.273217414052084,-751.1144358745,-15.648217414052084
CP5112N2,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",144,1.0,3397.4885260495,23.593670319788192,-3253.4885260495,-22.593670319788192
CP5112M1,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",288,1.5,4621.5666106451,24.07065943044323,-4333.5666106451,-22.57065943044323
CP5112N4,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",246,1.6400000000000001,1917.815282824,12.785435218826667,-1671.815282824,-11.145435218826666
CP5111S1,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",48,1.0,1117.9249205425,23.290102511302084,-1069.9249205425,-22.290102511302084
LRA16M05,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",11,1.0,663.9562477314,60.35965888467273,-652.9562477314,-59.35965888467273
CP5111O4,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",47,1.0,1138.191007815,24.216829953510636,-1091.191007815,-23.216829953510636
CP5112N3,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",144,1.0,1990.1991361553,13.820827334411806,-1846.1991361553,-12.820827334411806
CP3202I1,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",170,1.0,2129.435680771,12.526092239829412,-1959.435680771,-11.526092239829412
CP5111O5,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",41,1.3225806451612903,580.9989384528,18.7419012404129,-539.9989384528,-17.41932059525161
CP5113F3,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",8,1.0,1417.8687836161,177.2335979520125,-1409.8687836161,-176.2335979520125
CP5113F4,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",20,1.0,697.4351369745,34.871756848725,-677.4351369745,-33.871756848725
TRG0516M,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",215,1.1684782608695652,3912.287764779,21.262433504233694,-3697.287764779,-20.093955243364128
EBIS2AAN,"CALENTADORES DE AMERICA, S.A. DE C.V.",1100,1.0,67475.6001358097,61.341454668917905,-66375.6001358097,-60.341454668917905
EBIS2AAN,INDUSTRIAS GUTIERREZ S.A. DE C.V.,1800,2.25,11518.3288726104,14.397911090763,-9718.3288726104,-12.147911090763
EBIS2AAN,INSUMOS TÉRMICOS Y AUTOMATIZACIÓN DEL CENTRO S.A. DE C.V.,1000,2.0,8593.0378559095,17.186075711819,-7593.037855909501,-15.186075711819
RCAL2DW,"CALENTADORES DE AMERICA, S.A. DE C.V.",650,1.4038876889848813,2879.5965563021,6.219431007131965,-2229.5965563021,-4.815543318147084
RCAL2R,"CALENTADORES DE AMERICA, S.A. DE C.V.",550,1.6467065868263473,7326.6611340615,21.93611117982485,-6776.6611340615,-20.2894045929985
