Producto,Cliente,Cantidad Real,Cantidad Real N,Cantidad Pronosticada,Cantidad Pronosticada N,Diferencia,Diferencia Norm
BUJIA040,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,29396,9.798666666666668,22649.12006543,7.549706688476667,6746.879934569999,2.2489599781900003
V2,CONTROLADORA MABE SA DE CV,3,3.0,3234.2706818139,3234.2706818139,-3231.2706818139,-3231.2706818139
V2,"CALENTADORES DE AMERICA, S.A. DE C.V.",1302,1.6275,2385.636384912,2.9820454811399997,-1083.6363849119998,-1.3545454811399997
V2,"INDUGLOB, S.A.",380730,2.2852941176470587,71670.6655232818,0.43019607156831813,309059.3344767182,1.8550980460787405
V2,IMBERA S.A. DE C.V.,35,1.75,172.198086732,8.6099043366,-137.198086732,-6.8599043366
LPERA,INDUSTRIAS ACROS WHIRLPOOL S. DE R.L. DE C.V.,1319,4.710714285714285,2017.4218349725,7.205077982044642,-698.4218349724999,-2.494363696330357
FS12V16W,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",20,1.0,209.5210265829,10.476051329145,-189.5210265829,-9.476051329145
SELCLEAN,CONTROLADORA MABE SA DE CV,16650,16.81818181818182,20719.6030981386,20.928892018321818,-4069.6030981385993,-4.110710200139998
BUJ528G1,CONTROLADORA MABE SA DE CV,757750,25.25833333333334,562367.3223289065,18.74557741096355,195382.6776710935,6.5127559223697915
BU185G19,CONTROLADORA MABE SA DE CV,319889,19.224098557692308,40698.6585612887,2.445832846231292,279190.3414387113,16.778265711461017
EBIS3TAH,CONTROLADORA MABE SA DE CV,1838,3.0633333333333335,7629.6749930957,12.716124988492833,-5791.6749930957,-9.6527916551595
SELCLEAG,CONTROLADORA MABE SA DE CV,330,2.2,2057.868175678,13.719121171186668,-1727.8681756780002,-11.519121171186669
BU185G17,CONTROLADORA MABE SA DE CV,90566,9.24142857142857,124155.1236470558,12.66889016806692,-33589.12364705581,-3.4274615966383504
BU185G14,CONTROLADORA MABE SA DE CV,8630,10.273809523809526,1852.899946962,2.205833270192857,6777.100053038,8.067976253616669
BUJ891G1,CONTROLADORA MABE SA DE CV,169550,19.488505747126446,45220.2238965222,5.197726884657724,124329.77610347781,14.290778862468722
BUJ891G2,CONTROLADORA MABE SA DE CV,7650,8.5,10018.5426796552,11.131714088505777,-2368.5426796552,-2.6317140885057775
BUJ891G3,CONTROLADORA MABE SA DE CV,6450,7.166666666666668,3259.1426549178,3.6212696165753333,3190.8573450822,3.5453970500913345
BUJ250G2,CONTROLADORA MABE SA DE CV,12440,7.068181818181818,13471.2904677595,7.654142311226988,-1031.2904677594997,-0.5859604930451701
BUJ891G4,CONTROLADORA MABE SA DE CV,40950,16.05882352941176,12336.3531939232,4.837785566244392,28613.646806076802,11.221037963167369
BU185G26,CONTROLADORA MABE SA DE CV,163795,15.59952380952381,103696.2869394616,9.875836851377295,60098.7130605384,5.723686958146514
BUJ250G3,CONTROLADORA MABE SA DE CV,8760,7.064516129032258,6590.1266138234,5.314618236954354,2169.8733861766004,1.7498978920779038
EBIS5TAH,CONTROLADORA MABE SA DE CV,9500,13.571428571428575,2705.8423291323,3.865489041617572,6794.1576708677,9.705939529811003
BUJ722G1,CONTROLADORA MABE SA DE CV,64076,19.070238095238093,30276.1313479654,9.010753377370655,33799.868652034595,10.059484717867438
BUJ891G5,CONTROLADORA MABE SA DE CV,2748,6.106666666666665,2959.8703029817,6.577489562181556,-211.8703029817002,-0.47082289551489165
BUJ320G2,CONTROLADORA MABE SA DE CV,3750,5.0,5987.7942874301,7.983725716573466,-2237.7942874300998,-2.983725716573466
BUJ320G3,CONTROLADORA MABE SA DE CV,21112,12.992,3858.9756660105,2.3747542560064616,17253.0243339895,10.61724574399354
BUJ320G1,CONTROLADORA MABE SA DE CV,2250,2.9999999999999996,32790.6228175595,43.72083042341267,-30540.622817559502,-40.72083042341267
EI-S7N,CONTROLADORA MABE SA DE CV,41650,13.61111111111111,18319.9284960812,5.986904737281438,23330.0715039188,7.624206373829673
BUJIA523,"COPRECI DE MEXICO, S.A. DE C.V.",113000,7.533333333333332,107014.9278935744,7.134328526238293,5985.072106425607,0.3990048070950394
BUJIA525,"COPRECI DE MEXICO, S.A. DE C.V.",98000,7.2592592592592595,52147.6954763718,3.8627922575090223,45852.3045236282,3.396467001750237
BUJIA526,"COPRECI DE MEXICO, S.A. DE C.V.",67000,5.153846153846153,56199.7608834041,4.323058529492624,10800.239116595898,0.8307876243535297
BUJIA524,"COPRECI DE MEXICO, S.A. DE C.V.",173500,7.382978723404255,202204.333056767,8.604439704543276,-28704.333056767005,-1.2214609811390211
BUJIA260,"COPRECI DE MEXICO, S.A. DE C.V.",321000,8.23076923076923,659053.1224538429,16.898798011637,-338053.1224538429,-8.668028780867768
BUJIA260,WHIRLPOOL CORPORATION,15500,3.875,7891.6535923206,1.97291339808015,7608.3464076794,1.90208660191985
BUJIA261,"COPRECI DE MEXICO, S.A. DE C.V.",448000,10.181818181818183,715076.2719216843,16.251733452765553,-267076.27192168427,-6.069915270947369
BUJIA261,WHIRLPOOL CORPORATION,19000,3.454545454545454,25279.948083399,4.596354196981636,-6279.948083398998,-1.141808742436182
BUJIA387,"COPRECI DE MEXICO, S.A. DE C.V.",48500,6.466666666666667,22213.658767563,2.9618211690084,26286.341232437,3.5048454976582666
CP5112N1,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",127,2.5918367346938775,222.4910116147,4.540632890095918,-95.4910116147,-1.9487961554020408
CP5115A,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",604,3.355555555555556,1034.5199738497,5.747333188053888,-430.5199738496999,-2.391777632498332
CP5115A3,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",359,1.2046979865771812,243.3148633263,0.8164928299540269,115.68513667369999,0.38820515662315425
CP5115A6,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",977,2.5509138381201044,1150.5618178212,3.0040778533190604,-173.56181782120007,-0.453164015198956
CP5115A2,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",854,1.728744939271255,923.1077365536,1.8686391428210527,-69.10773655360003,-0.13989420354979765
CP5115A5,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",200,2.0,244.580781217,2.44580781217,-44.58078121700001,-0.44580781217
LRA16M02,"METALFRIO SOLUTIONS MEXICO, S.A. DE C.V.",4560,4.75,7381.491382348,7.689053523279167,-2821.491382348,-2.939053523279167
